home	1276852170	the *** of the pine	The locality where a thing is usually found, or was first found, or where it is naturally abundant; habitat; seat.
page	1082121730	the *** of history	Any record or writing; a collective memory.
search	1024093118	With only five minutes until we were meant to leave, the *** for the keys started in earnest.	An attempt to find something.
time	908705570	*** stops for nobody.   the ebb and flow of ***	The inevitable progression into the future with the passing of present and past events.
news	755424983	Is there any *** about the storm?	New information of interest.
see	681410380	1999 saw the release of many great films.	To be the setting or time of.
contact	645824184	I haven't been in *** with her for years.	The establishment of communication (with).
business	637134177	I was left my father's ***.	A specific commercial enterprise or establishment.
web	619571575	The gazebo's roof was a *** made of thin strips of wood.	A latticed or woven structure.
help	611054034	I need some *** with my homework.	Action given to provide assistance; aid.
view	602279334	a fine *** of Lake George	A picture, drawn or painted; a sketch.
click	536746424	I turned the key, the lock gave a *** and the door opened;  a *** of one’s fingers	A brief, sharp, not particularly loud, relatively high-pitched sound produced by the impact of something small and hard against something hard, such as by the operation of a switch, a lock or a latch, or a finger pressed against the thumb and then released to strike the hand.
service	519537222	I say I did him a *** by ending our relationship – now he can freely pursue his career.	An act of being of assistance to someone.
price	501651226	I paid a high *** for my folly.	The cost of an action or deed.
top	484213771	His kite got caught at the *** of the tree.	The highest or uppermost part of something.
name	464532702	I've never liked the *** my parents gave me so I changed it at the age of twenty.	Any nounal word or phrase which indicates a particular person, place, class, or thing.
year	451092583	Mars goes around the sun once in a Martian ***, or 1.88 Earth ***s.	(by extension) The time it takes for any astronomical object (such as a planet, dwarf planet, small Solar System body, or comet) in direct orbit around a star (such as the Sun) to make one revolution around the star.
day	446236148	I've been here for two ***s and a bit.	Any period of 24 hours.
email	443949646	He sent me his details via ***.	A system for transferring messages from one computer to another, usually through a network.
health	440416431	Her mental *** is really affected by stressful environments.	The state of being free from physical or psychological disease, illness, or malfunction; wellness.
world	431934249	There will always be lovers, till the ***’s end.	(with "the") Human collective existence; existence in general.
next	425903347	***, please, don't hold up the queue!	The one that follows after this one.
work	419483948	We don't have much time. Let's get to *** piling up those sandbags.	Sustained effort to achieve a goal or result, especially overcoming obstacles.
last	417601616	“Eyes Wide Shut” was the *** film to be directed by Stanley Kubrick.	Final, ultimate, coming after all others of its kind.
music	414028837	I keep listening to this *** because it's a masterpiece.	A series of sounds organized in time, employing melody, harmony, tempo etc. usually to convey a mood.
buy	410780176	At only $30, the second-hand kitchen table was a great ***.	Something which is bought; a purchase.
product	399116355	That store offers a variety of ***s.  We've got to sell a lot of *** by the end of the month.	A commodity offered for sale.
system	396975018	There are eight planets in the solar ***.	A collection of organized things; a whole composed of relationships among its members.
city	390564835	São Paulo is the largest *** in South America.	A large settlement, bigger than a town; sometimes with a specific legal definition, depending on the place.
policy	384401868	The Communist Party has a *** of returning power to the workers.	A principle of behaviour, conduct etc. thought to be desirable or necessary, especially as formally expressed by a government or other authoritative body.
number	383787805	Zero, one, −1, 2.5, and pi are all ***s.	An abstract entity used to describe quantity.
copyright	373906735	*** is a separate legal area from trademarks.	The right by law to be the entity which determines who may publish, copy and distribute a piece of writing, music, picture or other work of authorship.
support	373512569	The government provides *** to the arts in several ways.	Financial or other help.
message	373081242	We've just received an urgent *** from the President.	A communication, or what is communicated; any concept or information conveyed.
public	349286123	Members of the *** may not proceed beyond this point.	The people in general, regardless of membership of any particular group.
high	345413157	It was one of the ***s of his career.	A point of success or achievement; a time when things are at their best.
school	343057316	The divers encountered a huge *** of mackerel.	(collective) A group of fish or a group of marine mammals such as porpoises, dolphins, or whales.
review	339067778	I need to make a *** of the book before I can understand it.	A second or subsequent reading of a text or artifact in an attempt to gain new insights.
order	336631187	The house is in ***; the machinery is out of ***.	The state of being well arranged.
privacy	333272427	I need my ***, so please stay out of my room.	The state of being secluded from the presence, sight, or knowledge of others.
book	330959949	He was frustrated because he couldn't find anything about dinosaurs in the ***.	A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.
company	324272258	Keep the house clean; I have *** coming.	Social visitors or companions.
read	322331766	What's your *** of the current political situation?	A person's interpretation or impression of something.
group	321842984	A *** of people gathered in front of the Parliament to demonstrate against the Prime Minister's proposals.	A number of things or persons being in some relation to one another.
set	313469591	*** the tray there.	To put (something) down, to rest.
general	311757793	Hannibal was one of the greatest ***s of the ancient world.	A great strategist or tactician.
research	311538382	The *** station that houses Wang and his team is outside Lijiang, a city of about 1.2 million people.	Diligent inquiry or examination to seek or revise facts, principles, theories, applications, etc.; laborious or continued search after truth.
university	311373936	The only reason why I haven't gone to *** is because I can't afford it.	Institution of higher education (typically accepting students from the age of about 17 or 18, depending on country, but in some exceptional cases able to take younger students) where subjects are studied and researched in depth and degrees are offered.
mail	310337185	Don't forget to pick up the *** on your way.	The material conveyed by the postal service.
full	309929179	The jugs were *** to the point of overflowing.	Containing the maximum possible amount that can fit in the space available.
map	309676581	I don't want to play this *** again!	An imaginary or fictional area, often predefined and confined, where a game or a session thereof takes place.
program	306686983	Our *** for today’s exercise class includes swimming and jogging.	A set of structured activities.
life	306559205	Having experienced both, the vampire decided that he preferred (un)death to ***.  He gave up on ***.	The state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living.
way	305515604	You're going about it the wrong ***.  He's known for his quirky ***s.  I don't like the *** she looks at me.	A method or manner of doing something; a mannerism.
management	304201237	Excellent time *** helped her succeed in all facets of her life.	Judicious use of means to accomplish an end.
part	302729303	to do one’s ***	Duty; responsibility.
great	301487430	Newton and Einstein are two of the ***s of the history of science.	A person of major significance, accomplishment or acclaim.
united	299280163	I hope this song can unite people from all different cultures.	To bring together as one.
item	296534935	Tweezers are great for manipulating small ***s.	A distinct physical object.
international	295639201	The United team includes five England ***s.	Someone who has represented their country in a particular sport.
